No,Type,SAP_Code,Description,Unit,Total_N3,C010,C020,C030,C040,C050,C060,C070,C080,C090,C110,C120,C130
81,พัสดุรอง,1020420106,หางปลา เจาะรูตามมาตรฐานเนม่า สำหรับสายอลูมิเนียม 185,อัน,100,20,0,0,10,0,30,0,10,20,0,0,10
82,พัสดุรอง,1020420400,สลักต่อปลายสายเข้าอุปกรณ์ไฟฟ้าสำหรับสายอลูมิเนียม ขนาด 50 ต.มม.,อัน,320,10,20,30,20,10,60,30,60,20,50,10,30
83,พัสดุรอง,1020440112,เหล็กคอนเคเบิลอากาศทางโค้ง ระบบ 22 เควี และ 33 เควี,อัน,350,40,10,30,100,20,10,40,60,10,10,10,10
84,พัสดุรอง,1030130000,แร็ค 2x200 มม. (2x8") แบบหลังยืน,ก้าน,3000,200,400,500,100,300,300,300,100,100,100,100,100
85,พัสดุรอง,1030130001,แร็ค 3x200 มม. (3x8")แบบหลังยื่น,ก้าน,220,10,30,10,30,30,50,0,0,10,10,10,10
86,พัสดุรอง,1030130002,แร็ค 4x200 มม. (4x8") แบบหลังยื่น,ก้าน,1500,150,280,100,300,60,220,140,20,40,80,40,80
87,พัสดุรอง,1030130100,ที่จับลูกรอก สำหรับลูกรอกแรง แบบ ข(แบบ 53-2)มอก.227,อัน,1750,200,250,100,250,150,250,150,200,50,50,50,50
88,พัสดุรอง,1040020012,H.R.C. FUSE BLADE CONTACT 80 A,อัน,265,100,20,20,15,15,15,15,20,15,10,10,10
89,พัสดุรอง,1040020014,H.R.C. FUSE BLADE CONTACT 160 A,อัน,100,10,10,10,10,5,10,10,10,5,5,5,10
90,พัสดุรอง,1040020100,ฟิวส์สวิตช์แรงต่ำ 1x400 แอมป์ 500 โวลท์,ชิ้น,350,20,50,30,30,30,40,30,30,30,20,20,20
91,พัสดุรอง,1040030002,ฟิวส์ลิงค์ 22 เควี 5-6 แอมป์ EE-NEMA แบบ K,เส้น,400,30,60,40,50,30,30,40,30,30,20,20,20
92,พัสดุรอง,1040030003,ฟิวส์ลิงค์ 22 เควี 3 แอมป์ EEI-NEMA แบบ K,เส้น,200,30,30,20,30,10,20,15,10,15,5,10,5
93,พัสดุรอง,1050100003,เหล็กจับขอบถังหม้อแปลง สำหรับยึดสายแรงต่ำ,ชิ้น,180,10,20,10,20,20,20,20,10,20,10,10,10
94,พัสดุรอง,1070010400,STREET LIGHTING SET LED 20 W ACC.,ชุด,150,30,10,10,20,20,10,0,30,20,0,0,0
95,พัสดุรอง,1070010401,STREET LIGHTING SET LED G13 2X20 W ACC,ชุด,240,40,60,20,40,10,20,0,20,0,20,10,0
96,พัสดุรอง,1070030209,ชุดสวิตช์ควบคุมด้วยไฟฟ้าพลังแสง 1 เฟส 220 โวลท์ 30 แอมป์,ชุด,40,10,6,3,3,4,0,2,2,1,0,3,0
97,พัสดุรอง,1080040001,ท่อพีวีซีแข็ง ขนาด 20x2500 มม. มอก.216,ท่อน,2000,120,400,200,300,120,200,180,120,120,80,80,80
98,พัสดุรอง,1030010200,INSULATOR POST 7.5 KV. ANSI TR-202,อัน,800,60,160,100,120,70,70,30,20,60,30,40,40
99,พัสดุรอง,1040010015,ANIMAL BARRIER,อัน,800,60,160,100,120,70,70,30,60,30,40,48,0
100,พัสดุรอง,1040010016,CUTOUT BRACKET,อัน,800,60,160,100,120,70,70,30,30,40,40,0,0
